File Name,WER,Accuracy %
6000312289918-outSF30.wav.txt,0.47619047619047616,52.38
6000312289961-outSF30.wav.txt,0.2,80.0
6000312290838-outSF30.wav.txt,0.35,65.0
6000312290839-outSF30.wav.txt,0.5625,43.75
6000312292301-outSF30.wav.txt,0.37142857142857144,62.86
6000312293753-outSF30.wav.txt,0.12962962962962962,87.04
6000312293762-outSF30.wav.txt,0.08333333333333333,91.67
6000312293790-outSF30.wav.txt,0.2631578947368421,73.68
6000312293867-outSF30.wav.txt,0.4523809523809524,54.76
6000312294165-outSF30.wav.txt,0.2894736842105263,71.05
6000312294185-outSF30.wav.txt,0.08333333333333333,91.67
6000312294260-outSF30.wav.txt,0.23711340206185566,76.29
6000312294649-outSF30.wav.txt,0.15151515151515152,84.85
6000312294705-outSF30.wav.txt,0.32558139534883723,67.44
6000312295182-outSF30.wav.txt,0.13636363636363635,86.36
6000312297635-outSF30.wav.txt,0.20588235294117646,79.41
6000312298046-outSF30.wav.txt,0.24390243902439024,75.61
6000312299068-outSF30.wav.txt,0.03333333333333333,96.67
6000312299100-outSF30.wav.txt,0.21428571428571427,78.57
6000312299984-outSF30.wav.txt,0.3137254901960784,68.63
6000312300117-outSF30.wav.txt,0.6666666666666666,33.33
6000312300461-outSF30.wav.txt,0.10416666666666667,89.58
6000312301529-outSF30.wav.txt,0.0,100.0
6000312302066-outSF30.wav.txt,0.26785714285714285,73.21
6000312304448-outSF30.wav.txt,0.3076923076923077,69.23
6000312304458-outSF30.wav.txt,0.10416666666666667,89.58
6000312304554-outSF30.wav.txt,0.0851063829787234,91.49
6000312307933-outSF30.wav.txt,0.40476190476190477,59.52
6000312311087-outSF30.wav.txt,0.15384615384615385,84.62
6000312312048-outSF30.wav.txt,0.18055555555555555,81.94
6000312312617-outSF30.wav.txt,0.12962962962962962,87.04
6000312314159-outSF30.wav.txt,0.09090909090909091,90.91
6000312314589-outSF30.wav.txt,0.5,50.0
6000312314632-outSF30.wav.txt,0.3287671232876712,67.12
6000312314975-outSF30.wav.txt,0.13333333333333333,86.67
6000312315054-outSF30.wav.txt,0.4,60.0
6000312315107-outSF30.wav.txt,0.2972972972972973,70.27
6000312316013-outSF30.wav.txt,0.25675675675675674,74.32
6000312318574-outSF30.wav.txt,0.6571428571428571,34.29
6000312319112-outSF30.wav.txt,0.07547169811320754,92.45
6000312324196-outSF30.wav.txt,0.35714285714285715,64.29
6000312324266-outSF30.wav.txt,0.47368421052631576,52.63
6000312329030-outSF30.wav.txt,0.5303030303030303,46.97
6000312329883-outSF30.wav.txt,0.13636363636363635,86.36
6000312331001-outSF30.wav.txt,0.3783783783783784,62.16
6000312332006-outSF30.wav.txt,0.5714285714285714,42.86
6000312333142-outSF30.wav.txt,0.14285714285714285,85.71
6000312333496-outSF30.wav.txt,0.16326530612244897,83.67
6000312335073-outSF30.wav.txt,0.20512820512820512,79.49
6000312338355-outSF30.wav.txt,0.5,50.0
6000312343544-outSF30.wav.txt,0.3684210526315789,63.16
6000312346275-outSF30.wav.txt,0.05660377358490566,94.34
6000312348943-outSF30.wav.txt,0.5833333333333334,41.67
6000312350098-outSF30.wav.txt,1.0,0.0
6000312351576-outSF30.wav.txt,0.676923076923077,32.31
6000312351771-outSF30.wav.txt,0.1267605633802817,87.32
6000312361690-outSF30.wav.txt,0.2698412698412698,73.02
6000312362161-outSF30.wav.txt,0.17391304347826086,82.61
6000312363268-outSF30.wav.txt,0.2839506172839506,71.6
6000312366054-outSF30.wav.txt,0.09433962264150944,90.57
6000312366976-outSF30.wav.txt,0.16071428571428573,83.93
6000312368012-outSF30.wav.txt,0.175,82.5
6000312371109-outSF30.wav.txt,0.08888888888888889,91.11
6000312374532-outSF30.wav.txt,0.125,87.5
6000312377298-outSF30.wav.txt,1.0,0.0
6000312380383-outSF30.wav.txt,0.6875,31.25
6000312383716-outSF30.wav.txt,1.0,0.0
6000312384277-outSF30.wav.txt,0.5897435897435898,41.03
6000312386162-outSF30.wav.txt,1.0,0.0
6000312387806-outSF30.wav.txt,0.0,100.0
6000312388523-outSF30.wav.txt,0.5,50.0
6000312388883-outSF30.wav.txt,0.26153846153846155,73.85
6000312389390-outSF30.wav.txt,0.28888888888888886,71.11
6000312391055-outSF30.wav.txt,1.0,0.0
6000312392150-outSF30.wav.txt,0.4418604651162791,55.81
6000312392330-outSF30.wav.txt,0.3220338983050847,67.8
6000312392708-outSF30.wav.txt,0.36363636363636365,63.64
6000312392793-outSF30.wav.txt,0.5161290322580645,48.39
6000312392908-outSF30.wav.txt,0.28125,71.88
6000312394392-outSF30.wav.txt,0.23809523809523808,76.19
6000312395006-outSF30.wav.txt,0.13953488372093023,86.05
6000312395939-outSF30.wav.txt,0.21428571428571427,78.57
6000312396536-outSF30.wav.txt,0.5588235294117647,44.12
6000312397728-outSF30.wav.txt,0.1746031746031746,82.54
6000312400337-outSF30.wav.txt,0.08196721311475409,91.8
6000312401022-outSF30.wav.txt,0.7037037037037037,29.63
6000312401933-outSF30.wav.txt,0.1875,81.25
6000312401974-outSF30.wav.txt,0.2,80.0
6000312402887-outSF30.wav.txt,0.2903225806451613,70.97
6000312402907-outSF30.wav.txt,0.24561403508771928,75.44
6000312403081-outSF30.wav.txt,0.07042253521126761,92.96
6000312405733-outSF30.wav.txt,0.234375,76.56
6000312406306-outSF30.wav.txt,0.10204081632653061,89.8
6000312409588-outSF30.wav.txt,1.0,0.0
6000312409620-outSF30.wav.txt,0.46153846153846156,53.85
6000312413808-outSF30.wav.txt,0.125,87.5
6000312414876-outSF30.wav.txt,0.20754716981132076,79.25
6000312415403-outSF30.wav.txt,0.08695652173913043,91.3
6000312415560-outSF30.wav.txt,0.5,50.0
6000312416048-outSF30.wav.txt,0.43478260869565216,56.52
6000312417645-outSF30.wav.txt,0.5666666666666667,43.33
6000312417655-outSF30.wav.txt,0.3191489361702128,68.09
6000312420996-outSF30.wav.txt,0.3508771929824561,64.91
6000312421446-outSF30.wav.txt,0.38636363636363635,61.36
6000312421460-outSF30.wav.txt,0.5625,43.75
6000312421574-outSF30.wav.txt,0.23809523809523808,76.19
6000312422005-outSF30.wav.txt,0.14285714285714285,85.71
6000312422512-outSF30.wav.txt,0.27906976744186046,72.09
6000312424410-outSF30.wav.txt,0.21212121212121213,78.79
6000312424863-outSF30.wav.txt,0.3048780487804878,69.51
6000312425044-outSF30.wav.txt,0.13793103448275862,86.21
6000312426169-outSF30.wav.txt,0.5,50.0
6000312427080-outSF30.wav.txt,0.2857142857142857,71.43
6000312427747-outSF30.wav.txt,0.3829787234042553,61.7
6000312427830-outSF30.wav.txt,0.14634146341463414,85.37
6000312430439-outSF30.wav.txt,0.1935483870967742,80.65
6000312431553-outSF30.wav.txt,0.2682926829268293,73.17
6000312433127-outSF30.wav.txt,1.0,0.0
6000312433692-outSF30.wav.txt,0.4,60.0
6000312434204-outSF30.wav.txt,0.16666666666666666,83.33
6000312434267-outSF30.wav.txt,0.16216216216216217,83.78
6000312435493-outSF30.wav.txt,1.0,0.0
6000312435837-outSF30.wav.txt,0.0847457627118644,91.53
6000312438040-outSF30.wav.txt,0.5277777777777778,47.22
6000312438555-outSF30.wav.txt,0.22,78.0
6000312439202-outSF30.wav.txt,0.24528301886792453,75.47
6000312439804-outSF30.wav.txt,0.16,84.0
6000312441659-outSF30.wav.txt,0.39473684210526316,60.53
6000312442196-outSF30.wav.txt,0.21428571428571427,78.57
6000313037497_short.wav.txt,0.15966386554621848,84.03
6000313080801-hcat142-out_silence_L30S.wav.txt,0.19117647058823528,80.88
6000313308380-hcat142-out_silence_L30S.wav.txt,0.12195121951219512,87.8
6000313774754-hcat142-out_silence_L30S.wav.txt,0.12345679012345678,87.65
6000313837174-hcat142-out_silence_L30S.wav.txt,0.17142857142857143,82.86
6000314273822_silence.wav.txt,0.2727272727272727,72.73
6000314317302_silence.wav.txt,0.030303030303030304,96.97
6000314318744_short.wav.txt,0.10569105691056911,89.43
6000314366403-hcat142-out_silence_L30S.wav.txt,0.13157894736842105,86.84
6000314373713-hcat142-out_silence_L30S.wav.txt,0.11842105263157894,88.16
6000314509294_short.wav.txt,0.2,80.0
